,label2,count
0,Type 2 diabetes mellitus,14219
1,Congestive heart failure,8022
2,Dyspnea,7924
3,Atrial fibrillation,5654
4,Respiratory symptom,5541
5,Acute respiratory failure,4917
6,Chest pain,4620
7,Hypothyroidism,4238
8,Pure hypercholesterolemia,4225
9,Gastroesophageal reflux disease,4139
10,Coronary arteriosclerosis,3950
11,Coronary arteriosclerosis in native artery,3942
12,Anemia,3576
13,Allergic rhinitis,3396
14,Malaise and fatigue,3112
15,Hypoxemia,3058
16,Tobacco dependence syndrome,2986
17,Acute infective exacerbation of chronic obstructive airways disease,2966
18,Catarrhal bronchitis,2855
19,Urinary tract infectious disease,2721
20,Chronic asthmatic bronchitis,2504
21,Emphysematous bleb of lung,2501
22,Type II diabetes mellitus uncontrolled,2240
23,Disorder of lung,2166
24,Osteoarthritis,1936
