,omop_drug,count,label
0,<http://www.vitalstatisticsconsulting.com/ontology/omop-cdm/Concept/974166>,348000,Hydrochlorothiazide
1,<http://www.vitalstatisticsconsulting.com/ontology/omop-cdm/Concept/1308216>,202607,Lisinopril
2,<http://www.vitalstatisticsconsulting.com/ontology/omop-cdm/Concept/1353766>,178358,Propranolol
3,<http://www.vitalstatisticsconsulting.com/ontology/omop-cdm/Concept/956874>,147721,Furosemide
4,<http://www.vitalstatisticsconsulting.com/ontology/omop-cdm/Concept/1328165>,137805,Diltiazem
5,<http://www.vitalstatisticsconsulting.com/ontology/omop-cdm/Concept/1307046>,121662,Metoprolol
6,<http://www.vitalstatisticsconsulting.com/ontology/omop-cdm/Concept/1314002>,114905,Atenolol
7,<http://www.vitalstatisticsconsulting.com/ontology/omop-cdm/Concept/1332418>,109943,Amlodipine
8,<http://www.vitalstatisticsconsulting.com/ontology/omop-cdm/Concept/1307863>,109491,Verapamil
9,<http://www.vitalstatisticsconsulting.com/ontology/omop-cdm/Concept/1318853>,102337,Nifedipine
10,<http://www.vitalstatisticsconsulting.com/ontology/omop-cdm/Concept/1308842>,81094,valsartan
11,<http://www.vitalstatisticsconsulting.com/ontology/omop-cdm/Concept/904542>,78816,Triamterene
12,<http://www.vitalstatisticsconsulting.com/ontology/omop-cdm/Concept/970250>,75762,Spironolactone
13,<http://www.vitalstatisticsconsulting.com/ontology/omop-cdm/Concept/1335471>,74829,benazepril
14,<http://www.vitalstatisticsconsulting.com/ontology/omop-cdm/Concept/1395058>,71841,Chlorthalidone
15,<http://www.vitalstatisticsconsulting.com/ontology/omop-cdm/Concept/40226742>,57691,olmesartan
16,<http://www.vitalstatisticsconsulting.com/ontology/omop-cdm/Concept/1346823>,55093,carvedilol
17,<http://www.vitalstatisticsconsulting.com/ontology/omop-cdm/Concept/1341238>,52204,Terazosin
18,<http://www.vitalstatisticsconsulting.com/ontology/omop-cdm/Concept/902427>,44823,Timolol
19,<http://www.vitalstatisticsconsulting.com/ontology/omop-cdm/Concept/1363053>,44681,Doxazosin
20,<http://www.vitalstatisticsconsulting.com/ontology/omop-cdm/Concept/1367500>,42539,Losartan
21,<http://www.vitalstatisticsconsulting.com/ontology/omop-cdm/Concept/1398937>,40936,Clonidine
22,<http://www.vitalstatisticsconsulting.com/ontology/omop-cdm/Concept/1305447>,36459,Methyldopa
23,<http://www.vitalstatisticsconsulting.com/ontology/omop-cdm/Concept/1350489>,35983,Prazosin
24,<http://www.vitalstatisticsconsulting.com/ontology/omop-cdm/Concept/1334456>,35530,Ramipril
