,c2,count,label
0,<http://www.vitalstatisticsconsulting.com/ontology/omop-cdm/Concept/312437>,15848,Dyspnea
1,<http://www.vitalstatisticsconsulting.com/ontology/omop-cdm/Concept/313878>,11082,Respiratory symptom
2,<http://www.vitalstatisticsconsulting.com/ontology/omop-cdm/Concept/77670>,9240,Chest pain
3,<http://www.vitalstatisticsconsulting.com/ontology/omop-cdm/Concept/439926>,6224,Malaise and fatigue
4,<http://www.vitalstatisticsconsulting.com/ontology/omop-cdm/Concept/194133>,2938,Low back pain
5,<http://www.vitalstatisticsconsulting.com/ontology/omop-cdm/Concept/200219>,2258,Abdominal pain
6,<http://www.vitalstatisticsconsulting.com/ontology/omop-cdm/Concept/314754>,2118,Wheezing
7,<http://www.vitalstatisticsconsulting.com/ontology/omop-cdm/Concept/134736>,2018,Backache
8,<http://www.vitalstatisticsconsulting.com/ontology/omop-cdm/Concept/138525>,1588,Pain in limb
9,<http://www.vitalstatisticsconsulting.com/ontology/omop-cdm/Concept/75860>,1584,Constipation
10,<http://www.vitalstatisticsconsulting.com/ontology/omop-cdm/Concept/437663>,1406,Fever
11,<http://www.vitalstatisticsconsulting.com/ontology/omop-cdm/Concept/134159>,1202,Precordial pain
12,<http://www.vitalstatisticsconsulting.com/ontology/omop-cdm/Concept/377091>,1176,Seizure
13,<http://www.vitalstatisticsconsulting.com/ontology/omop-cdm/Concept/442752>,1128,Muscle pain
14,<http://www.vitalstatisticsconsulting.com/ontology/omop-cdm/Concept/196523>,1082,Diarrhea
15,<http://www.vitalstatisticsconsulting.com/ontology/omop-cdm/Concept/436962>,1080,Insomnia
16,<http://www.vitalstatisticsconsulting.com/ontology/omop-cdm/Concept/439150>,980,Hypersomnia with sleep apnea
17,<http://www.vitalstatisticsconsulting.com/ontology/omop-cdm/Concept/81112>,950,Arthralgia of the lower leg
18,<http://www.vitalstatisticsconsulting.com/ontology/omop-cdm/Concept/27674>,914,Nausea and vomiting
19,<http://www.vitalstatisticsconsulting.com/ontology/omop-cdm/Concept/442555>,888,Breathing painful
20,<http://www.vitalstatisticsconsulting.com/ontology/omop-cdm/Concept/79106>,794,Arthralgia of the pelvic region and thigh
21,<http://www.vitalstatisticsconsulting.com/ontology/omop-cdm/Concept/436096>,762,Chronic pain
22,<http://www.vitalstatisticsconsulting.com/ontology/omop-cdm/Concept/78232>,732,Shoulder joint pain
23,<http://www.vitalstatisticsconsulting.com/ontology/omop-cdm/Concept/31967>,630,Nausea
24,<http://www.vitalstatisticsconsulting.com/ontology/omop-cdm/Concept/77074>,462,Joint pain
