,label2,count
0,Type II diabetes mellitus uncontrolled,353951
1,Pure hypercholesterolemia,82698
2,Hypothyroidism,59181
3,Anemia,43624
4,Malaise and fatigue,36580
5,Atrial fibrillation,31767
6,Coronary arteriosclerosis,30712
7,Congestive heart failure,28856
8,Abnormal glucose level,27811
9,Type 1 diabetes mellitus uncontrolled,27515
10,Impaired fasting glycaemia,26459
11,Coronary arteriosclerosis in native artery,25085
12,Dependence on enabling machine or device,24229
13,Abnormal glucose tolerance test,24022
14,Urinary tract infectious disease,22916
15,Neurologic disorder associated with type 2 diabetes mellitus,18445
16,Gastroesophageal reflux disease,17161
17,Chest pain,16075
18,Disorder due to type 2 diabetes mellitus,15516
19,Iron deficiency anemia,14899
20,Osteoarthritis,12843
21,Renal disorder due to type 2 diabetes mellitus,12758
22,Onychomycosis due to dermatophyte,12284
23,Osteoporosis,11636
24,End stage renal disease,11484
