,label2,count
0,Atrial fibrillation,84465
1,Type 2 diabetes mellitus,82254
2,Coronary arteriosclerosis in native artery,71217
3,Precordial pain,59083
4,Dyspnea,35346
5,Pure hypercholesterolemia,31126
6,Chronic ischemic heart disease,23285
7,Anemia,22718
8,Hypothyroidism,21922
9,Malaise and fatigue,20656
10,Respiratory symptom,17475
11,Gastroesophageal reflux disease,15010
12,Urinary tract infectious disease,14222
13,Coronary bypass graft finding,13493
14,Preinfarction syndrome,12136
15,Electrocardiogram abnormal,11614
16,Acute respiratory failure,10707
17,Sinus node dysfunction,10053
18,Patient post percutaneous transluminal coronary angioplasty,10031
19,Type II diabetes mellitus uncontrolled,9901
20,Abdominal pain,9866
21,End stage renal disease,8811
22,Chronic kidney disease,8784
23,Acute exacerbation of chronic obstructive airways disease,8635
24,Premature beats,8453
