,c2,count,label
0,<http://www.vitalstatisticsconsulting.com/ontology/omop-cdm/Concept/77670>,1350344,Chest pain
1,<http://www.vitalstatisticsconsulting.com/ontology/omop-cdm/Concept/134159>,118166,Precordial pain
2,<http://www.vitalstatisticsconsulting.com/ontology/omop-cdm/Concept/312437>,70692,Dyspnea
3,<http://www.vitalstatisticsconsulting.com/ontology/omop-cdm/Concept/439926>,41312,Malaise and fatigue
4,<http://www.vitalstatisticsconsulting.com/ontology/omop-cdm/Concept/313878>,34950,Respiratory symptom
5,<http://www.vitalstatisticsconsulting.com/ontology/omop-cdm/Concept/200219>,19732,Abdominal pain
6,<http://www.vitalstatisticsconsulting.com/ontology/omop-cdm/Concept/138525>,10716,Pain in limb
7,<http://www.vitalstatisticsconsulting.com/ontology/omop-cdm/Concept/194133>,9884,Low back pain
8,<http://www.vitalstatisticsconsulting.com/ontology/omop-cdm/Concept/134736>,8458,Backache
9,<http://www.vitalstatisticsconsulting.com/ontology/omop-cdm/Concept/75860>,6156,Constipation
10,<http://www.vitalstatisticsconsulting.com/ontology/omop-cdm/Concept/78232>,5974,Shoulder joint pain
11,<http://www.vitalstatisticsconsulting.com/ontology/omop-cdm/Concept/27674>,5642,Nausea and vomiting
12,<http://www.vitalstatisticsconsulting.com/ontology/omop-cdm/Concept/79106>,5276,Arthralgia of the pelvic region and thigh
13,<http://www.vitalstatisticsconsulting.com/ontology/omop-cdm/Concept/196523>,5188,Diarrhea
14,<http://www.vitalstatisticsconsulting.com/ontology/omop-cdm/Concept/437663>,5030,Fever
15,<http://www.vitalstatisticsconsulting.com/ontology/omop-cdm/Concept/377091>,4922,Seizure
16,<http://www.vitalstatisticsconsulting.com/ontology/omop-cdm/Concept/31967>,4842,Nausea
17,<http://www.vitalstatisticsconsulting.com/ontology/omop-cdm/Concept/81112>,4714,Arthralgia of the lower leg
18,<http://www.vitalstatisticsconsulting.com/ontology/omop-cdm/Concept/442752>,4398,Muscle pain
19,<http://www.vitalstatisticsconsulting.com/ontology/omop-cdm/Concept/197381>,3914,Epigastric pain
20,<http://www.vitalstatisticsconsulting.com/ontology/omop-cdm/Concept/436962>,3292,Insomnia
21,<http://www.vitalstatisticsconsulting.com/ontology/omop-cdm/Concept/197988>,3174,Generalized abdominal pain
22,<http://www.vitalstatisticsconsulting.com/ontology/omop-cdm/Concept/133299>,3114,Swelling of limb
23,<http://www.vitalstatisticsconsulting.com/ontology/omop-cdm/Concept/442555>,2968,Breathing painful
24,<http://www.vitalstatisticsconsulting.com/ontology/omop-cdm/Concept/314754>,2584,Wheezing
