,omop_drug,count,label
0,<http://www.vitalstatisticsconsulting.com/ontology/omop-cdm/Concept/974166>,157726,Hydrochlorothiazide
1,<http://www.vitalstatisticsconsulting.com/ontology/omop-cdm/Concept/1308216>,91165,Lisinopril
2,<http://www.vitalstatisticsconsulting.com/ontology/omop-cdm/Concept/1353766>,85039,Propranolol
3,<http://www.vitalstatisticsconsulting.com/ontology/omop-cdm/Concept/956874>,69209,Furosemide
4,<http://www.vitalstatisticsconsulting.com/ontology/omop-cdm/Concept/1328165>,66085,Diltiazem
5,<http://www.vitalstatisticsconsulting.com/ontology/omop-cdm/Concept/1307046>,57835,Metoprolol
6,<http://www.vitalstatisticsconsulting.com/ontology/omop-cdm/Concept/1314002>,53947,Atenolol
7,<http://www.vitalstatisticsconsulting.com/ontology/omop-cdm/Concept/1332418>,52235,Amlodipine
8,<http://www.vitalstatisticsconsulting.com/ontology/omop-cdm/Concept/1307863>,51244,Verapamil
9,<http://www.vitalstatisticsconsulting.com/ontology/omop-cdm/Concept/1318853>,48066,Nifedipine
10,<http://www.vitalstatisticsconsulting.com/ontology/omop-cdm/Concept/1308842>,38273,valsartan
11,<http://www.vitalstatisticsconsulting.com/ontology/omop-cdm/Concept/904542>,36556,Triamterene
12,<http://www.vitalstatisticsconsulting.com/ontology/omop-cdm/Concept/970250>,35160,Spironolactone
13,<http://www.vitalstatisticsconsulting.com/ontology/omop-cdm/Concept/1335471>,33170,benazepril
14,<http://www.vitalstatisticsconsulting.com/ontology/omop-cdm/Concept/1395058>,32786,Chlorthalidone
15,<http://www.vitalstatisticsconsulting.com/ontology/omop-cdm/Concept/40226742>,26719,olmesartan
16,<http://www.vitalstatisticsconsulting.com/ontology/omop-cdm/Concept/1346823>,26249,carvedilol
17,<http://www.vitalstatisticsconsulting.com/ontology/omop-cdm/Concept/1341238>,24451,Terazosin
18,<http://www.vitalstatisticsconsulting.com/ontology/omop-cdm/Concept/902427>,21929,Timolol
19,<http://www.vitalstatisticsconsulting.com/ontology/omop-cdm/Concept/1398937>,21694,Clonidine
20,<http://www.vitalstatisticsconsulting.com/ontology/omop-cdm/Concept/1363053>,21176,Doxazosin
21,<http://www.vitalstatisticsconsulting.com/ontology/omop-cdm/Concept/1367500>,19795,Losartan
22,<http://www.vitalstatisticsconsulting.com/ontology/omop-cdm/Concept/1305447>,18402,Methyldopa
23,<http://www.vitalstatisticsconsulting.com/ontology/omop-cdm/Concept/1350489>,17077,Prazosin
24,<http://www.vitalstatisticsconsulting.com/ontology/omop-cdm/Concept/1334456>,16078,Ramipril
