,c2,count,label
0,<http://www.vitalstatisticsconsulting.com/ontology/omop-cdm/Concept/77670>,11846,Chest pain
1,<http://www.vitalstatisticsconsulting.com/ontology/omop-cdm/Concept/439926>,9178,Malaise and fatigue
2,<http://www.vitalstatisticsconsulting.com/ontology/omop-cdm/Concept/312437>,6392,Dyspnea
3,<http://www.vitalstatisticsconsulting.com/ontology/omop-cdm/Concept/194133>,3186,Low back pain
4,<http://www.vitalstatisticsconsulting.com/ontology/omop-cdm/Concept/313878>,3032,Respiratory symptom
5,<http://www.vitalstatisticsconsulting.com/ontology/omop-cdm/Concept/134159>,2662,Precordial pain
6,<http://www.vitalstatisticsconsulting.com/ontology/omop-cdm/Concept/200219>,2590,Abdominal pain
7,<http://www.vitalstatisticsconsulting.com/ontology/omop-cdm/Concept/138525>,1900,Pain in limb
8,<http://www.vitalstatisticsconsulting.com/ontology/omop-cdm/Concept/75860>,1742,Constipation
9,<http://www.vitalstatisticsconsulting.com/ontology/omop-cdm/Concept/134736>,1572,Backache
10,<http://www.vitalstatisticsconsulting.com/ontology/omop-cdm/Concept/377091>,1406,Seizure
11,<http://www.vitalstatisticsconsulting.com/ontology/omop-cdm/Concept/81112>,1220,Arthralgia of the lower leg
12,<http://www.vitalstatisticsconsulting.com/ontology/omop-cdm/Concept/196523>,1214,Diarrhea
13,<http://www.vitalstatisticsconsulting.com/ontology/omop-cdm/Concept/442752>,1134,Muscle pain
14,<http://www.vitalstatisticsconsulting.com/ontology/omop-cdm/Concept/27674>,1108,Nausea and vomiting
15,<http://www.vitalstatisticsconsulting.com/ontology/omop-cdm/Concept/77074>,1050,Joint pain
16,<http://www.vitalstatisticsconsulting.com/ontology/omop-cdm/Concept/436962>,980,Insomnia
17,<http://www.vitalstatisticsconsulting.com/ontology/omop-cdm/Concept/437663>,896,Fever
18,<http://www.vitalstatisticsconsulting.com/ontology/omop-cdm/Concept/78232>,802,Shoulder joint pain
19,<http://www.vitalstatisticsconsulting.com/ontology/omop-cdm/Concept/79106>,770,Arthralgia of the pelvic region and thigh
20,<http://www.vitalstatisticsconsulting.com/ontology/omop-cdm/Concept/31967>,718,Nausea
21,<http://www.vitalstatisticsconsulting.com/ontology/omop-cdm/Concept/436096>,616,Chronic pain
22,<http://www.vitalstatisticsconsulting.com/ontology/omop-cdm/Concept/197988>,584,Generalized abdominal pain
23,<http://www.vitalstatisticsconsulting.com/ontology/omop-cdm/Concept/133299>,576,Swelling of limb
24,<http://www.vitalstatisticsconsulting.com/ontology/omop-cdm/Concept/197381>,516,Epigastric pain
